Date,Open,High,Low,Close,Shares Traded,Turnover (₹ Cr)
2023-12-29,21737.65,21770.3,21676.9,21731.4,270922276.0,23697.88
2024-01-01,21727.75,21834.35,21680.85,21741.9,153995217.0,14184.09
2024-01-02,21751.35,21755.6,21555.65,21665.8,263711568.0,25316.13
2024-01-03,21661.1,21677.0,21500.35,21517.35,311933117.0,32329.23
2024-01-04,21605.8,21685.65,21564.55,21658.6,339172697.0,30868.15
2024-01-05,21705.75,21749.6,21629.2,21710.8,309303266.0,26554.49
2024-01-08,21747.6,21763.95,21492.9,21513.0,231452935.0,21140.94
2024-01-09,21653.6,21724.45,21517.85,21544.85,228568589.0,24055.74
2024-01-10,21529.3,21641.85,21448.65,21618.7,216991926.0,20958.96
2024-01-11,21688.0,21726.5,21593.75,21647.2,212453866.0,23492.12
2024-01-12,21773.55,21928.25,21715.15,21894.55,294678459.0,30565.5
2024-01-15,22053.15,22115.55,21963.55,22097.45,345543523.0,29523.15
2024-01-16,22080.5,22124.15,21969.8,22032.3,292433764.0,24435.94
2024-01-17,21647.25,21851.5,21550.45,21571.95,455999867.0,47533.44
2024-01-18,21414.2,21539.4,21285.55,21462.25,387341268.0,39718.84
2024-01-19,21615.2,21670.6,21575.0,21622.4,343055124.0,34429.24
2024-01-20,21706.15,21720.3,21541.8,21571.8,162073740.0,13917.46
2024-01-23,21716.7,21750.25,21192.6,21238.8,449718534.0,48813.68
2024-01-24,21185.25,21482.35,21137.2,21453.95,407460664.0,41718.64
2024-01-25,21454.6,21459.0,21247.05,21352.6,418143077.0,40088.5
2024-01-29,21433.1,21763.25,21429.6,21737.6,376702289.0,34516.42
2024-01-30,21775.75,21813.05,21501.8,21522.1,375137333.0,32916.3
2024-01-31,21487.25,21741.35,21448.85,21725.7,410583065.0,41587.85
2024-02-01,21780.65,21832.95,21658.75,21697.45,332541208.0,34042.15
2024-02-02,21812.75,22126.8,21805.55,21853.8,442794738.0,38395.9
2024-02-05,21921.05,21964.3,21726.95,21771.7,440849699.0,33807.94
2024-02-06,21825.2,21951.4,21737.55,21929.4,370968111.0,32910.82
2024-02-07,22045.05,22053.3,21860.15,21930.5,346263704.0,30088.76
2024-02-08,22009.65,22011.05,21665.3,21717.95,491069786.0,41082.02
2024-02-09,21727.0,21804.45,21629.9,21782.5,349222850.0,31176.16
